date,stores_found,carrying_any,est_national_any,p_top_instock,p_bottom_instock,pf_top_instock,pf_bottom_instock
2026-06-29T18:30:00Z,1666,193,555,55,55,141,151
2026-06-30T04:08:36+00:00,961,121,603,30,34,56,69
2026-06-30T16:56:22+00:00,1693,198,560,52,54,54,48,54,54,51,147,140,150,148
2026-07-02T05:07:03+00:00,4018,748,891,126,141,519,550
2026-07-03T02:20:11+00:00,4592,893,897
2026-07-06T18:13:18+00:00,4592,898,902
